iter	RMSE
0	8.691433829
1	7.957697365
2	7.281083163
3	6.677583881
4	6.147223477
5	5.669218422
6	5.240470824
7	4.852293409
8	4.496858639
9	4.182578636
10	3.88819041
11	3.641531223
12	3.434260088
13	3.228800103
14	3.030845265
15	2.863482163
16	2.724078043
17	2.592191755
18	2.48975433
19	2.397182181
20	2.299870196
21	2.228186892
22	2.163481261
23	2.098400816
24	2.042669651
25	1.999508603
26	1.952897182
27	1.916530479
28	1.883206312
29	1.856078426
30	1.832213746
31	1.810048854
32	1.782160388
33	1.759682397
34	1.738908079
35	1.718377802
36	1.700119587
37	1.682276259
38	1.659521951
39	1.64904558
40	1.629173413
41	1.617548963
42	1.6069611
43	1.592471984
44	1.576609708
45	1.5656816
46	1.556802994
47	1.54578145
48	1.536534364
49	1.522436773
50	1.514409519
51	1.500714452
52	1.494338158
53	1.484028227
54	1.471665242
55	1.465274837
56	1.454130018
57	1.444981812
58	1.433805438
59	1.427603923
60	1.419547425
61	1.414217986
62	1.408010127
63	1.404249503
64	1.395550241
65	1.384578938
66	1.374763131
67	1.369457044
68	1.360415254
69	1.352606292
70	1.342849858
71	1.33982115
72	1.334987388
73	1.328306244
74	1.321029053
75	1.313046878
76	1.306158399
77	1.298147114
78	1.293430517
79	1.289011265
80	1.279934434
81	1.271267685
82	1.26608718
83	1.256442743
84	1.24996337
85	1.242212908
86	1.235617006
87	1.227428925
88	1.221694761
89	1.216481496
90	1.209118123
91	1.202274595
92	1.197563794
93	1.191462904
94	1.186237906
95	1.181792225
96	1.177405225
97	1.168939852
98	1.157098686
99	1.15012292
100	1.14218023
101	1.138792202
102	1.131447307
103	1.127488508
104	1.120598167
105	1.114724701
106	1.106539929
107	1.102530976
108	1.096064252
109	1.090339967
110	1.084929129
111	1.075743697
112	1.069921111
113	1.06573725
114	1.057902388
115	1.054876098
116	1.050939146
117	1.048191205
118	1.043170688
119	1.039723023
120	1.03458919
121	1.030880708
122	1.024634932
123	1.021339585
124	1.016987204
125	1.014809669
126	1.008652598
127	1.006032671
128	1.002436613
129	0.9963400655
130	0.9904079564
131	0.9871133822
132	0.9799268919
133	0.9778460964
134	0.9738139874
135	0.9703144098
136	0.9655214319
137	0.9628512869
138	0.9583414246
139	0.9541138841
140	0.9495289515
141	0.9445987165
142	0.9411581977
143	0.9363322029
144	0.9310305264
145	0.9259929068
146	0.9237986455
147	0.9191468455
148	0.9171324853
149	0.9145794095
150	0.9110693666
151	0.9067221749
152	0.9041659829
153	0.9001344391
154	0.8977220611
155	0.8954778706
156	0.8915876231
157	0.8870487243
158	0.8852525558
159	0.8827115815
160	0.8799007197
161	0.8778945787
162	0.8744692274
163	0.8713792877
164	0.8661965361
165	0.8644619669
166	0.8615826232
167	0.8594734318
168	0.8541440495
169	0.8503500196
170	0.8473812645
171	0.8432167322
172	0.8416450915
173	0.8378213903
174	0.8357684527
175	0.8326704827
176	0.8287054927
177	0.8244242597
178	0.8216415949
179	0.8189922297
180	0.8172117677
181	0.8160129213
182	0.8130079795
183	0.8105059989
184	0.8081503461
185	0.8056395777
186	0.8020024636
187	0.7988561952
188	0.7957215588
189	0.7909489937
190	0.7887496281
191	0.7862162991
192	0.7848072734
193	0.78229801
194	0.7790769541
195	0.776840575
196	0.7734870395
197	0.7714996425
198	0.7693670277
199	0.7660800465
200	0.7641182809
201	0.7609123105
202	0.7584006763
203	0.7564623455
204	0.7553831594
205	0.7536473365
206	0.7505299739
207	0.7487639663
208	0.7468899721
209	0.7443564636
210	0.7413624886
211	0.7388935043
212	0.7345507457
213	0.7320594879
214	0.7309362798
215	0.7293694435
216	0.7273841734
217	0.7248596923
218	0.7227976599
219	0.7202274233
220	0.7167515747
221	0.7149725897
222	0.7130272459
223	0.7107180324
224	0.7088580405
225	0.7071768891
226	0.7054044806
227	0.702723699
228	0.7004362342
229	0.6983833857
230	0.6963049034
231	0.694345359
232	0.6927769352
233	0.6878783351
234	0.6858948998
235	0.6831115323
236	0.6811044152
237	0.6797012762
238	0.6783570232
239	0.6766765175
240	0.6756707297
241	0.6745551938
242	0.6725854084
243	0.6714929199
244	0.6698539118
245	0.6662319618
246	0.6640996646
247	0.6617839903
248	0.6591575615
249	0.6561005025
250	0.6549838819
251	0.6533314997
252	0.6518574445
253	0.6498272782
254	0.6482733082
255	0.6470538375
256	0.6452619621
257	0.6426139152
258	0.6388450726
259	0.6376305739
260	0.6359246273
261	0.6345502665
262	0.6327805428
263	0.6314235292
264	0.630173265
265	0.6281356458
266	0.6272353772
267	0.6253117199
268	0.6237140678
269	0.620973883
270	0.619061244
271	0.6179421374
272	0.6152244922
273	0.613967724
274	0.6130973089
275	0.6113788502
276	0.6097741188
277	0.6080499443
278	0.606600645
279	0.6061837515
280	0.6046672351
281	0.6040740909
282	0.6022500452
283	0.6010186031
284	0.599935666
285	0.5979509395
286	0.5964853971
287	0.594749329
288	0.5937084988
289	0.5911904675
290	0.5897887308
291	0.5884943225
292	0.5868857073
293	0.5852202221
294	0.5831660445
295	0.5812819705
296	0.5792452393
297	0.5777309729
298	0.5770185128
299	0.5751512725
