iter	Passed	Remaining
0	2	605
1	2	413
2	3	336
3	4	321
4	5	308
5	6	300
6	6	281
7	7	273
8	8	266
9	8	258
10	9	255
11	10	251
12	11	251
13	12	250
14	13	248
15	13	245
16	15	249
17	16	253
18	17	251
19	17	248
20	18	245
21	19	243
22	20	241
23	20	239
24	21	240
25	22	238
26	23	239
27	24	238
28	25	237
29	26	236
30	27	237
31	28	237
32	29	235
33	29	233
34	30	231
35	31	230
36	32	229
37	33	232
38	34	231
39	35	229
40	36	231
41	37	230
42	38	229
43	39	229
44	40	229
45	41	229
46	42	228
47	43	226
48	43	224
49	44	223
50	45	222
51	46	221
52	47	220
53	48	219
54	49	218
55	49	217
56	50	215
57	51	213
58	51	211
59	52	210
60	53	209
61	54	207
62	54	205
63	55	204
64	55	202
65	56	200
66	57	199
67	57	197
68	58	196
69	59	195
70	60	193
71	60	192
72	61	191
73	62	189
74	62	187
75	63	186
76	63	184
77	64	183
78	65	181
79	65	180
80	66	179
81	66	177
82	67	176
83	68	174
84	68	173
85	69	172
86	69	171
87	70	169
88	71	168
89	71	167
90	72	165
91	72	164
92	73	164
93	74	163
94	75	162
95	75	161
96	76	160
97	77	158
98	77	157
99	78	156
100	78	155
101	79	154
102	80	153
103	80	152
104	81	151
105	82	150
106	82	149
107	83	148
108	84	147
109	84	146
110	85	145
111	85	144
112	86	143
113	87	142
114	87	141
115	88	140
116	88	139
117	89	138
118	90	137
119	90	136
120	91	135
121	92	134
122	92	133
123	93	132
124	93	131
125	94	130
126	95	129
127	95	128
128	96	127
129	96	126
130	97	125
131	98	124
132	98	124
133	99	123
134	99	122
135	100	121
136	101	120
137	101	119
138	102	118
139	102	117
140	103	116
141	104	115
142	104	115
143	105	114
144	106	113
145	106	112
146	107	111
147	107	110
148	108	110
149	109	109
150	110	109
151	111	108
152	112	107
153	113	107
154	113	106
155	114	105
156	115	105
157	116	104
158	117	104
159	118	103
160	119	103
161	120	102
162	121	102
163	122	101
164	123	101
165	124	100
166	125	99
167	126	99
168	127	98
169	127	97
170	128	96
171	129	96
172	130	95
173	130	94
174	131	94
175	132	93
176	133	92
177	134	92
178	135	91
179	136	90
180	136	90
181	137	89
182	138	88
183	139	88
184	140	87
185	141	86
186	142	86
187	143	85
188	144	84
189	145	84
190	145	83
191	146	82
192	147	81
193	148	81
194	149	80
195	150	79
196	151	79
197	152	78
198	152	77
199	153	76
200	154	76
201	155	75
202	156	74
203	157	73
204	158	73
205	158	72
206	159	71
207	160	71
208	161	70
209	162	69
210	163	69
211	164	68
212	165	67
213	166	66
214	167	66
215	167	65
216	168	64
217	169	63
218	170	63
219	172	62
220	173	61
221	174	61
222	174	60
223	175	59
224	176	58
225	177	58
226	178	57
227	179	56
228	179	55
229	180	54
230	181	54
231	182	53
232	183	52
233	184	52
234	185	51
235	186	50
236	187	49
237	188	49
238	189	48
239	189	47
240	190	46
241	191	45
242	192	45
243	193	44
244	194	43
245	195	42
246	196	42
247	197	41
248	197	40
249	198	39
250	199	38
251	200	38
252	201	37
253	202	36
254	203	35
255	204	35
256	205	34
257	206	33
258	207	32
259	207	31
260	208	31
261	209	30
262	210	29
263	211	28
264	212	28
265	213	27
266	214	26
267	215	25
268	216	24
269	217	24
270	218	23
271	219	22
272	219	21
273	220	20
274	221	20
275	223	19
276	224	18
277	225	17
278	226	17
279	227	16
280	227	15
281	228	14
282	229	13
283	230	12
284	231	12
285	232	11
286	233	10
287	234	9
288	235	8
289	235	8
290	236	7
291	237	6
292	238	5
293	239	4
294	239	4
295	240	3
296	241	2
297	242	1
298	242	0
299	243	0
