iter	RMSE
0	9.228227301
1	8.973563916
2	8.682320805
3	8.423360044
4	8.173207529
5	7.928020339
6	7.703175686
7	7.473288945
8	7.262341861
9	7.033873209
10	6.80532209
11	6.619785011
12	6.449206244
13	6.256302334
14	6.067000631
15	5.892924333
16	5.735180318
17	5.598558155
18	5.453155883
19	5.298424838
20	5.151025756
21	5.002984045
22	4.869739171
23	4.736774667
24	4.616626846
25	4.496442374
26	4.376032431
27	4.27230696
28	4.156817838
29	4.041819761
30	3.944825956
31	3.850092462
32	3.764530859
33	3.678938606
34	3.591603853
35	3.510403835
36	3.441813538
37	3.372075031
38	3.29241491
39	3.223288481
40	3.159165844
41	3.09837016
42	3.039303222
43	2.990950054
44	2.940360175
45	2.879010748
46	2.827704604
47	2.775984251
48	2.727965473
49	2.681772937
50	2.631532875
51	2.586213058
52	2.545788634
53	2.504586067
54	2.464207133
55	2.422738444
56	2.38464196
57	2.351146823
58	2.321171752
59	2.288910637
60	2.258902392
61	2.223754621
62	2.195426904
63	2.173990591
64	2.147555642
65	2.125797584
66	2.103183971
67	2.079691671
68	2.057526471
69	2.035968803
70	2.014670681
71	1.993704596
72	1.977972896
73	1.95792717
74	1.939889607
75	1.922421136
76	1.904381003
77	1.891307703
78	1.87427192
79	1.860258408
80	1.846928822
81	1.832853839
82	1.8220257
83	1.807275595
84	1.794389955
85	1.78028207
86	1.769370862
87	1.760261119
88	1.747244298
89	1.737399274
90	1.727114601
91	1.71875561
92	1.710611554
93	1.699456445
94	1.690575031
95	1.68127257
96	1.672994186
97	1.664501849
98	1.655478965
99	1.649066972
100	1.641279974
101	1.63396081
102	1.626235883
103	1.617690282
104	1.60904631
105	1.601301918
106	1.594652887
107	1.586212999
108	1.580574027
109	1.573267854
110	1.565702539
111	1.560392847
112	1.55388209
113	1.548027032
114	1.543804858
115	1.538168685
116	1.532809351
117	1.52803171
118	1.522868231
119	1.517372446
120	1.510474656
121	1.505115352
122	1.500216369
123	1.492954839
124	1.487500543
125	1.48204271
126	1.478620577
127	1.476222681
128	1.472113686
129	1.467871598
130	1.463540015
131	1.461543833
132	1.457683289
133	1.453456355
134	1.449925097
135	1.446939844
136	1.443341523
137	1.438441349
138	1.433804502
139	1.429229221
140	1.425735414
141	1.42221278
142	1.418235057
143	1.414938946
144	1.41091013
145	1.406354684
146	1.403136581
147	1.400207542
148	1.396681817
149	1.39061356
150	1.386568644
151	1.384526893
152	1.380375785
153	1.376017485
154	1.372899697
155	1.372041117
156	1.369325659
157	1.36674404
158	1.363433154
159	1.359095307
160	1.355747303
161	1.348643743
162	1.343315251
163	1.339605152
164	1.335782887
165	1.329842161
166	1.326202637
167	1.323432054
168	1.3202241
169	1.317678103
170	1.316965426
171	1.315467196
172	1.311776821
173	1.308385396
174	1.305675063
175	1.301910228
176	1.299212825
177	1.294887746
178	1.290121399
179	1.286918335
180	1.282374382
181	1.279333125
182	1.276695578
183	1.274950794
184	1.27064442
185	1.267878549
186	1.265170679
187	1.264716025
188	1.261615282
189	1.259192057
190	1.25687401
191	1.253305628
192	1.249696516
193	1.246121292
194	1.242914701
195	1.238166363
196	1.234437864
197	1.233668702
198	1.229877221
199	1.223718382
200	1.220152659
201	1.216421007
202	1.213653799
203	1.212236879
204	1.210683048
205	1.209004579
206	1.206804256
207	1.206181634
208	1.200440176
209	1.197169821
210	1.195721591
211	1.191860114
212	1.188240979
213	1.185684486
214	1.182004777
215	1.180180611
216	1.177429287
217	1.174664562
218	1.172319798
219	1.171857242
220	1.170208644
221	1.167195304
222	1.164196575
223	1.16082403
224	1.159535982
225	1.155951275
226	1.152253449
227	1.150897009
228	1.147952898
229	1.147237193
230	1.145501778
231	1.142416792
232	1.141269536
233	1.139445729
234	1.139071395
235	1.135109695
236	1.134307317
237	1.131402751
238	1.130420788
239	1.126226667
240	1.123332955
241	1.120353978
242	1.119960946
243	1.117659849
244	1.117183155
245	1.116468723
246	1.114149958
247	1.110288469
248	1.107933341
249	1.104619712
250	1.101152549
251	1.098498505
252	1.097799788
253	1.095167615
254	1.092483462
255	1.089021301
256	1.086538096
257	1.0860747
258	1.082290325
259	1.07902421
260	1.075576873
261	1.07058493
262	1.066972938
263	1.064891935
264	1.061093779
265	1.058461043
266	1.056266254
267	1.053548367
268	1.049106851
269	1.045681843
270	1.045141349
271	1.042353922
272	1.03972842
273	1.03689581
274	1.034022685
275	1.033181473
276	1.029795678
277	1.02914886
278	1.024720679
279	1.021961974
280	1.018748544
281	1.016280262
282	1.013228564
283	1.012066853
284	1.00966964
285	1.005773863
286	1.004304655
287	1.003848755
288	1.003456324
289	1.003001263
290	0.998912135
291	0.9965380173
292	0.996272712
293	0.9923131068
294	0.9890929578
295	0.9863368747
296	0.9831317847
297	0.9827104312
298	0.9796857789
299	0.9774414913
300	0.9744119001
301	0.9715507842
302	0.9691067348
303	0.9659368296
304	0.963424279
305	0.9613738339
306	0.9583620568
307	0.9554662243
308	0.9551065934
309	0.9546771337
310	0.9526934914
311	0.9495368893
312	0.9470506785
313	0.9442161932
314	0.9412018407
315	0.9389195096
316	0.9356171675
317	0.9331812911
318	0.9306677506
319	0.9281464914
320	0.9255518251
321	0.9240054503
322	0.9217027778
323	0.9195435611
324	0.9164250887
325	0.9147941561
326	0.9121517394
327	0.9092201333
328	0.9062858269
329	0.9043326658
330	0.9017927111
331	0.8991111414
332	0.8973513085
333	0.8955311178
334	0.8938065919
335	0.8916937904
336	0.889464583
337	0.8879217366
338	0.883952776
339	0.8826608373
340	0.881722354
341	0.8797471326
342	0.8774952551
343	0.874606342
344	0.8721069299
345	0.8701742522
346	0.8686131367
347	0.8666660711
348	0.8649163006
349	0.8620480202
350	0.8594046697
351	0.8579410126
352	0.8576145465
