tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,"preciptype_freezingrain,snow,ice",preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,ice","preciptype_rain,freezingrain,snow","preciptype_rain,freezingrain,snow,ice","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow,preciptype_unknown
6.3,7.8,8.7,4.8,7.0,5.7,86.9,1.357,100,12.5,0.0,0.0,15.8,9.0,41.7,1013.6,98.7,8.2,30.1,2.6,2,10.0,2021-12-30T07:19:55,2021-12-30T16:37:44,0.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.2,16.1,18.4,14.2,16.1,14.7,91.2,20.697939999999985,100,45.83,0.0,0.0,25.9,13.1,82.1,1017.4,90.9,7.2,63.2,5.3,2,10.0,2023-05-20T05:34:48,2023-05-20T20:10:57,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.2,19.4,24.3,16.2,19.4,12.4,64.7,0.0,0,0.0,0.0,0.0,72.0,17.8,271.8,1019.6,2.4,16.0,73.6,6.5,3,10.0,2023-10-27T07:20:20,2023-10-27T17:58:56,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.8,22.1,26.8,18.8,22.1,14.4,62.7,1.19,100,16.67,0.0,0.0,60.8,12.4,109.0,1011.2,27.3,15.6,230.4,19.9,7,10.0,2023-06-11T05:24:32,2023-06-11T20:27:08,0.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,11.2,14.0,6.8,10.9,2.9,57.3,0.0,0,0.0,0.0,0.0,37.1,20.4,245.4,1009.6,32.2,16.0,236.0,20.3,10,10.0,2024-03-16T07:05:04,2024-03-16T19:04:34,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.8,26.1,30.6,22.8,26.2,18.6,66.1,0.46,100,8.33,0.0,0.0,76.0,14.5,172.6,1015.0,22.9,13.5,237.7,20.6,9,30.0,2023-07-20T05:41:41,2023-07-20T20:22:45,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.2,18.6,25.6,14.2,18.6,15.6,84.0,0.41,100,20.83,0.0,0.0,35.3,15.0,198.7,1012.1,73.0,11.2,196.9,17.2,8,10.0,2022-05-15T05:38:58,2022-05-15T20:06:27,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.7,23.2,30.3,20.7,23.2,20.1,83.7,1.02,100,45.83,0.0,0.0,53.6,12.9,228.6,1001.7,86.8,14.4,143.2,12.4,6,30.0,2024-06-06T05:25:18,2024-06-06T20:24:48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,11.3,17.9,3.3,10.5,0.3,49.7,0.0,0,0.0,0.0,0.0,70.2,16.7,228.0,1030.2,0.5,15.9,277.4,23.8,9,10.0,2023-04-10T06:25:21,2023-04-10T19:30:07,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.2,9.7,13.3,4.3,8.4,6.0,77.8,0.0,0,0.0,0.0,0.0,70.4,20.3,62.1,1028.0,79.9,16.0,99.4,8.5,8,10.0,2024-03-04T06:24:27,2024-03-04T17:51:25,0.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
